# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	7.72506570e-03	3	1.00000000e+00	5.91918610e-03	4	false	GAMG	1.00000000e+00	6.70333480e-03	12	true
2               	smoothSolver	7.75956690e-01	3.45016230e-03	6	2.51621790e-01	1.38091170e-03	6	false	GAMG	3.03770800e-03	1.24542680e-05	12	true
3               	smoothSolver	1.03925920e-01	9.28744750e-04	5	9.35078840e-02	7.80237780e-04	5	false	GAMG	4.88527910e-02	2.49529260e-04	6	true
4               	smoothSolver	6.59427460e-02	6.14842740e-04	5	8.63224390e-02	4.21201900e-04	6	false	GAMG	3.78668000e-02	3.32053850e-04	4	true
5               	smoothSolver	5.12322710e-02	5.04576370e-04	5	7.64340150e-02	4.00276470e-04	6	false	GAMG	3.93234260e-02	3.90500760e-04	4	true
6               	smoothSolver	4.17668800e-02	1.81767750e-04	6	6.42893230e-02	3.71151430e-04	6	false	GAMG	3.66693080e-02	3.62484550e-04	4	true
7               	smoothSolver	3.51541870e-02	1.62604130e-04	6	5.61953010e-02	3.56385470e-04	6	false	GAMG	3.11040100e-02	2.20531270e-04	5	true
8               	smoothSolver	3.03133920e-02	1.48007100e-04	6	5.11977720e-02	3.45291610e-04	6	false	GAMG	2.71254860e-02	1.44461120e-04	5	true
9               	smoothSolver	2.69045320e-02	1.36049080e-04	6	4.74454970e-02	3.32316330e-04	6	false	GAMG	2.52171440e-02	1.16095760e-04	5	true
10              	smoothSolver	2.41077730e-02	1.26021450e-04	6	4.42222610e-02	3.18350790e-04	6	false	GAMG	2.44284760e-02	1.24325830e-04	5	true
11              	smoothSolver	2.17893540e-02	1.17059990e-04	6	4.12892460e-02	3.04548290e-04	6	false	GAMG	2.34608870e-02	1.29080600e-04	5	true
12              	smoothSolver	1.98936100e-02	1.09078880e-04	6	3.86091900e-02	2.91914680e-04	6	false	GAMG	2.21154910e-02	1.28208590e-04	5	true
13              	smoothSolver	1.82921550e-02	1.01791100e-04	6	3.63100210e-02	2.80209810e-04	6	false	GAMG	2.09408330e-02	1.32294170e-04	5	true
14              	smoothSolver	1.69141990e-02	9.53004210e-05	6	3.43551290e-02	2.69860160e-04	6	false	GAMG	1.96140960e-02	1.41532470e-04	5	true
15              	smoothSolver	1.57226420e-02	8.95244550e-05	6	3.26537800e-02	2.60593670e-04	6	false	GAMG	1.86093780e-02	1.46432810e-04	5	true
16              	smoothSolver	1.46960330e-02	8.42829990e-05	6	3.11760270e-02	2.52539150e-04	6	false	GAMG	1.76321930e-02	1.48691600e-04	5	true
17              	smoothSolver	1.38045530e-02	7.95950300e-05	6	2.99341310e-02	2.45675140e-04	6	false	GAMG	1.68063580e-02	1.54660330e-04	5	true
18              	smoothSolver	1.30038110e-02	7.54071660e-05	6	2.88510230e-02	2.40451770e-04	6	false	GAMG	1.60705350e-02	1.32548210e-04	6	true
19              	smoothSolver	1.22811590e-02	7.15755210e-05	6	2.79460250e-02	2.36458940e-04	6	false	GAMG	1.53562670e-02	1.33072170e-04	6	true
20              	smoothSolver	1.16243430e-02	6.80582560e-05	6	2.72160300e-02	2.33811130e-04	6	false	GAMG	1.48272370e-02	1.35566170e-04	6	true
21              	smoothSolver	1.10303230e-02	6.49019940e-05	6	2.65981340e-02	2.31634300e-04	6	false	GAMG	1.42457660e-02	1.37707860e-04	6	true
22              	smoothSolver	1.05146720e-02	6.20152470e-05	6	2.61263740e-02	2.30513900e-04	6	false	GAMG	1.38146050e-02	5.52201210e-05	7	true
23              	smoothSolver	1.00473580e-02	5.93824480e-05	6	2.57317220e-02	2.29542650e-04	6	false	GAMG	1.33424920e-02	5.33248540e-05	7	true
24              	smoothSolver	9.62571260e-03	5.70354230e-05	6	2.54385600e-02	2.29336590e-04	6	false	GAMG	1.29997520e-02	5.07756140e-05	7	true
25              	smoothSolver	9.24683260e-03	5.48804570e-05	6	2.51957350e-02	2.28938540e-04	6	false	GAMG	1.26394610e-02	4.73237420e-05	7	true
26              	smoothSolver	8.90368960e-03	5.29043400e-05	6	2.50090730e-02	2.28969890e-04	6	false	GAMG	1.23555460e-02	1.21081010e-04	6	true
27              	smoothSolver	8.59412920e-03	5.10834280e-05	6	2.48827600e-02	2.28861110e-04	6	false	GAMG	1.21278370e-02	1.15394640e-04	5	true
28              	smoothSolver	8.31426070e-03	4.94352250e-05	6	2.48030950e-02	2.29216590e-04	6	false	GAMG	1.18790910e-02	9.74171630e-05	5	true
29              	smoothSolver	8.06708480e-03	4.78658330e-05	6	2.47779220e-02	2.29031300e-04	6	false	GAMG	1.17288590e-02	8.08450690e-05	5	true
30              	smoothSolver	7.84419310e-03	4.63918680e-05	6	2.47804090e-02	2.29405620e-04	6	false	GAMG	1.15470300e-02	7.13375450e-05	5	true
31              	smoothSolver	7.63966580e-03	4.49787260e-05	6	2.48207840e-02	2.29338180e-04	6	false	GAMG	1.14284530e-02	6.45850160e-05	5	true
32              	smoothSolver	7.45128190e-03	4.36162810e-05	6	2.48899390e-02	2.29419050e-04	6	false	GAMG	1.12967040e-02	5.66394300e-05	5	true
33              	smoothSolver	7.27579350e-03	4.22810350e-05	6	2.49823260e-02	2.29495110e-04	6	false	GAMG	1.12176750e-02	5.10870280e-05	5	true
34              	smoothSolver	7.11317020e-03	4.09727970e-05	6	2.50964890e-02	2.29211460e-04	6	false	GAMG	1.11689200e-02	5.40807590e-05	5	true
35              	smoothSolver	6.96127920e-03	3.96880560e-05	6	2.52476760e-02	2.29264760e-04	6	false	GAMG	1.11401920e-02	6.56786410e-05	5	true
36              	smoothSolver	6.82082840e-03	3.84227610e-05	6	2.54204540e-02	2.29034590e-04	6	false	GAMG	1.11431640e-02	7.61752720e-05	5	true
37              	smoothSolver	6.69146630e-03	3.71901080e-05	6	2.55896000e-02	2.28546670e-04	6	false	GAMG	1.11679130e-02	8.22347210e-05	5	true
38              	smoothSolver	6.57507310e-03	3.60143710e-05	6	2.57871710e-02	2.28158350e-04	6	false	GAMG	1.12231160e-02	9.37917620e-05	5	true
39              	smoothSolver	6.47026080e-03	3.49248910e-05	6	2.59897690e-02	2.27795640e-04	6	false	GAMG	1.13162170e-02	1.06021450e-04	5	true
40              	smoothSolver	6.37468950e-03	3.39204400e-05	6	2.62114330e-02	2.27406910e-04	6	false	GAMG	1.14327030e-02	1.11049190e-04	5	true
41              	smoothSolver	6.29091710e-03	3.30423230e-05	6	2.64349510e-02	2.27474630e-04	6	false	GAMG	1.15736990e-02	1.11092030e-04	5	true
42              	smoothSolver	6.21921550e-03	3.23201100e-05	6	2.66832930e-02	2.28110610e-04	6	false	GAMG	1.17682880e-02	1.07921440e-04	5	true
43              	smoothSolver	6.15936780e-03	3.17973290e-05	6	2.69204510e-02	2.29062760e-04	6	false	GAMG	1.19414840e-02	1.03455530e-04	5	true
44              	smoothSolver	6.11142720e-03	3.14856820e-05	6	2.71740310e-02	2.30446490e-04	6	false	GAMG	1.21501740e-02	9.96837350e-05	5	true
45              	smoothSolver	6.07466490e-03	3.13636580e-05	6	2.74347640e-02	2.32031540e-04	6	false	GAMG	1.23527350e-02	9.76996050e-05	5	true
46              	smoothSolver	6.04763540e-03	3.13998040e-05	6	2.76958660e-02	2.33925620e-04	6	false	GAMG	1.25528360e-02	9.76541410e-05	5	true
47              	smoothSolver	6.02847480e-03	3.15438140e-05	6	2.79594410e-02	2.35837110e-04	6	false	GAMG	1.27213610e-02	9.70337090e-05	5	true
48              	smoothSolver	6.01744680e-03	3.17697560e-05	6	2.82204660e-02	2.37690460e-04	6	false	GAMG	1.28935460e-02	9.56625490e-05	5	true
49              	smoothSolver	6.01113830e-03	3.20475630e-05	6	2.84921390e-02	2.39605510e-04	6	false	GAMG	1.30732940e-02	9.34933890e-05	5	true
50              	smoothSolver	6.00953540e-03	3.23654740e-05	6	2.87521480e-02	2.41168280e-04	6	false	GAMG	1.32159400e-02	9.18466300e-05	5	true
51              	smoothSolver	6.01198390e-03	3.27060490e-05	6	2.90113350e-02	2.42787020e-04	6	false	GAMG	1.33518260e-02	9.24947090e-05	5	true
52              	smoothSolver	6.01556020e-03	3.30433440e-05	6	2.92652760e-02	2.44034400e-04	6	false	GAMG	1.34950800e-02	9.25627360e-05	5	true
53              	smoothSolver	6.01869550e-03	3.33582410e-05	6	2.95146490e-02	2.44885730e-04	6	false	GAMG	1.36097090e-02	9.34214480e-05	5	true
54              	smoothSolver	6.02332040e-03	3.36299550e-05	6	2.97671560e-02	2.45783560e-04	6	false	GAMG	1.37459830e-02	9.32671390e-05	5	true
55              	smoothSolver	6.02636730e-03	3.38438050e-05	6	3.00165510e-02	2.46201730e-04	6	false	GAMG	1.38469430e-02	9.21479510e-05	5	true
56              	smoothSolver	6.02877500e-03	3.39891190e-05	6	3.02646400e-02	2.46531250e-04	6	false	GAMG	1.39719360e-02	8.92321560e-05	5	true
57              	smoothSolver	6.02929700e-03	3.40562800e-05	6	3.05089760e-02	2.46731340e-04	6	false	GAMG	1.40830070e-02	8.49906400e-05	5	true
58              	smoothSolver	6.02761230e-03	3.40367480e-05	6	3.07457390e-02	2.46530170e-04	6	false	GAMG	1.41637300e-02	7.77666950e-05	5	true
59              	smoothSolver	6.02195660e-03	3.39211340e-05	6	3.09907860e-02	2.46246500e-04	6	false	GAMG	1.42543980e-02	7.35776170e-05	5	true
60              	smoothSolver	6.01509610e-03	3.36963510e-05	6	3.12316440e-02	2.45811020e-04	6	false	GAMG	1.43370100e-02	7.44266670e-05	5	true
61              	smoothSolver	6.00491320e-03	3.33866860e-05	6	3.14640790e-02	2.44919640e-04	6	false	GAMG	1.44701160e-02	7.58179350e-05	5	true
62              	smoothSolver	5.99248720e-03	3.30075390e-05	6	3.16861260e-02	2.43734990e-04	6	false	GAMG	1.45656300e-02	7.58760180e-05	5	true
63              	smoothSolver	5.97863710e-03	3.25807870e-05	6	3.19018170e-02	2.42496630e-04	6	false	GAMG	1.46782950e-02	7.61376520e-05	5	true
64              	smoothSolver	5.96490280e-03	3.21219210e-05	6	3.21128800e-02	2.41204980e-04	6	false	GAMG	1.47910590e-02	7.68183510e-05	5	true
65              	smoothSolver	5.95106580e-03	3.16870160e-05	6	3.23231140e-02	2.40090610e-04	6	false	GAMG	1.49221900e-02	8.06010020e-05	5	true
66              	smoothSolver	5.93900450e-03	3.13161300e-05	6	3.25269980e-02	2.39123210e-04	6	false	GAMG	1.50800570e-02	8.52779020e-05	5	true
67              	smoothSolver	5.93069710e-03	3.09976840e-05	6	3.27133380e-02	2.38316900e-04	6	false	GAMG	1.52539050e-02	8.95281830e-05	5	true
