# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	7.16814040e-03	4	9.99999990e-01	8.31980120e-03	4	false	GAMG	1.00000000e+00	8.12974700e-03	13	true
2               	smoothSolver	8.10033060e-01	6.15160100e-03	7	2.43431460e-01	1.76312020e-03	7	false	GAMG	2.24703930e-03	1.98704910e-05	12	true
3               	smoothSolver	1.03888550e-01	5.11558970e-04	7	4.07692490e-02	3.63597970e-04	6	false	GAMG	3.08233280e-02	2.91348320e-04	7	true
4               	smoothSolver	5.62353740e-02	2.84793480e-04	7	3.77303040e-02	3.38099520e-04	6	false	GAMG	2.36246740e-02	1.59733330e-04	6	true
5               	smoothSolver	4.08403940e-02	2.24983260e-04	7	3.25336370e-02	3.15658220e-04	6	false	GAMG	1.58366120e-02	7.77545340e-05	7	true
6               	smoothSolver	3.19609470e-02	1.88888870e-04	7	2.76670110e-02	1.42331500e-04	7	false	GAMG	1.20280640e-02	9.70327670e-05	7	true
7               	smoothSolver	2.65291550e-02	1.64123350e-04	7	2.46421930e-02	1.37057910e-04	7	false	GAMG	9.10959140e-03	8.28619170e-05	6	true
8               	smoothSolver	2.27259660e-02	1.45697920e-04	7	2.25079500e-02	1.33487200e-04	7	false	GAMG	7.13843290e-03	6.16967860e-05	6	true
9               	smoothSolver	1.99946200e-02	1.31309640e-04	7	2.08957260e-02	1.29665640e-04	7	false	GAMG	5.89713360e-03	4.49569800e-05	6	true
10              	smoothSolver	1.78231430e-02	1.19607260e-04	7	1.95342680e-02	1.26114460e-04	7	false	GAMG	5.12237010e-03	3.41447570e-05	6	true
11              	smoothSolver	1.61453420e-02	1.09858910e-04	7	1.83619560e-02	1.22444280e-04	7	false	GAMG	4.59835210e-03	2.93461370e-05	6	true
12              	smoothSolver	1.47433340e-02	1.01569120e-04	7	1.73283380e-02	1.18918200e-04	7	false	GAMG	4.17935190e-03	2.72774610e-05	6	true
13              	smoothSolver	1.35466580e-02	9.44943060e-05	7	1.64425280e-02	1.15518210e-04	7	false	GAMG	3.79972980e-03	2.56181280e-05	6	true
14              	smoothSolver	1.25554560e-02	8.83644490e-05	7	1.56180520e-02	1.12088600e-04	7	false	GAMG	3.47290010e-03	2.38176650e-05	6	true
15              	smoothSolver	1.17008800e-02	8.29755130e-05	7	1.49104470e-02	1.08975610e-04	7	false	GAMG	3.19241700e-03	2.18087860e-05	6	true
16              	smoothSolver	1.09407990e-02	7.81090060e-05	7	1.42460130e-02	1.05829440e-04	7	false	GAMG	2.94833830e-03	1.95937160e-05	6	true
17              	smoothSolver	1.02589830e-02	7.37757970e-05	7	1.36526780e-02	1.02865410e-04	7	false	GAMG	2.73846740e-03	1.72579520e-05	6	true
18              	smoothSolver	9.65955130e-03	6.98399220e-05	7	1.30966140e-02	1.00017600e-04	7	false	GAMG	2.54767080e-03	1.53111790e-05	6	true
19              	smoothSolver	9.13193470e-03	6.62732740e-05	7	1.25933020e-02	9.72157980e-05	7	false	GAMG	2.37417430e-03	1.43313980e-05	6	true
20              	smoothSolver	8.65127420e-03	6.30513130e-05	7	1.21293240e-02	9.46249310e-05	7	false	GAMG	2.22151170e-03	1.42481350e-05	6	true
21              	smoothSolver	8.21203670e-03	6.00807230e-05	7	1.16825500e-02	9.20902920e-05	7	false	GAMG	2.08660820e-03	1.46248180e-05	6	true
22              	smoothSolver	7.80857250e-03	5.73490960e-05	7	1.12952540e-02	8.97239050e-05	7	false	GAMG	1.96368480e-03	1.51578500e-05	6	true
23              	smoothSolver	7.43753520e-03	5.48575400e-05	7	1.09172000e-02	8.74360430e-05	7	false	GAMG	1.85054670e-03	1.56856310e-05	6	true
24              	smoothSolver	7.10923040e-03	5.25425660e-05	7	1.05737000e-02	8.52209870e-05	7	false	GAMG	1.74652220e-03	1.60967460e-05	6	true
25              	smoothSolver	6.80520990e-03	5.03851450e-05	7	1.02569630e-02	8.32227690e-05	7	false	GAMG	1.65411510e-03	1.64014320e-05	6	true
26              	smoothSolver	6.52007580e-03	4.83825940e-05	7	9.94534350e-03	8.12083120e-05	7	false	GAMG	1.56785620e-03	1.15037120e-05	7	true
