# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	9.92871920e-03	2	1.00000000e+00	7.92110110e-03	3	false	GAMG	1.00000000e+00	6.39493930e-03	7	true
2               	smoothSolver	4.88042520e-01	1.69409640e-03	4	1.76797160e-01	1.12157210e-03	3	false	GAMG	4.38690020e-03	2.83189110e-05	6	true
3               	smoothSolver	5.77132980e-02	1.60444330e-04	4	9.34368310e-02	9.28201350e-04	3	false	GAMG	6.03430730e-02	2.42725570e-04	4	true
4               	smoothSolver	3.91770100e-02	1.70631600e-04	4	7.86594840e-02	4.47772880e-04	4	false	GAMG	6.82733550e-02	5.65517530e-04	3	true
5               	smoothSolver	3.38557690e-02	1.70716100e-04	4	6.86537860e-02	5.17556340e-04	4	false	GAMG	6.38390470e-02	5.57285260e-04	3	true
6               	smoothSolver	3.08881560e-02	1.67104720e-04	4	6.13486090e-02	3.09039440e-04	5	false	GAMG	5.15099840e-02	4.93277550e-04	3	true
7               	smoothSolver	2.84266890e-02	1.64372330e-04	4	5.65164410e-02	3.69678260e-04	5	false	GAMG	4.43918230e-02	1.53197500e-04	4	true
8               	smoothSolver	2.67322970e-02	1.57286300e-04	4	5.39548990e-02	4.14915660e-04	5	false	GAMG	4.45320580e-02	1.75848720e-04	4	true
9               	smoothSolver	2.51560480e-02	1.46888860e-04	4	5.21806610e-02	4.44623520e-04	5	false	GAMG	4.62517540e-02	1.85675430e-04	4	true
10              	smoothSolver	2.38542250e-02	1.45323430e-04	4	5.08127990e-02	4.57456360e-04	5	false	GAMG	4.55273640e-02	2.01371860e-04	4	true
11              	smoothSolver	2.27935570e-02	1.53103970e-04	4	5.00100120e-02	4.51188140e-04	5	false	GAMG	4.41337070e-02	2.07797220e-04	4	true
12              	smoothSolver	2.19815530e-02	1.65522470e-04	4	4.93751670e-02	4.37196040e-04	5	false	GAMG	4.55544340e-02	1.83716430e-04	4	true
13              	smoothSolver	2.14438750e-02	1.80574330e-04	4	4.91114220e-02	4.27134460e-04	5	false	GAMG	4.73828860e-02	1.51914330e-04	4	true
14              	smoothSolver	2.09549200e-02	1.94313310e-04	4	4.92986700e-02	4.19452120e-04	5	false	GAMG	5.05442140e-02	1.24500820e-04	4	true
15              	smoothSolver	2.05705890e-02	2.04175980e-04	4	4.98961730e-02	4.12337130e-04	5	false	GAMG	5.28672860e-02	4.89249710e-04	3	true
16              	smoothSolver	2.02347410e-02	1.02506150e-04	5	5.08176950e-02	4.06588470e-04	5	false	GAMG	5.40116840e-02	5.21171180e-04	3	true
17              	smoothSolver	1.98896060e-02	9.77729550e-05	5	5.19754270e-02	3.95369060e-04	5	false	GAMG	5.32726700e-02	1.31416200e-04	4	true
18              	smoothSolver	1.96215000e-02	1.92680540e-04	4	5.31515100e-02	3.84147460e-04	5	false	GAMG	5.28627890e-02	1.57215230e-04	4	true
19              	smoothSolver	1.94596620e-02	1.85825270e-04	4	5.42169260e-02	3.69529210e-04	5	false	GAMG	5.38977050e-02	1.96207430e-04	4	true
20              	smoothSolver	1.93263140e-02	1.80213860e-04	4	5.55251640e-02	3.52559800e-04	5	false	GAMG	5.54058100e-02	2.12072650e-04	4	true
21              	smoothSolver	1.91979940e-02	1.75455810e-04	4	5.67797980e-02	3.37704780e-04	5	false	GAMG	5.72495860e-02	1.95396320e-04	4	true
22              	smoothSolver	1.90435240e-02	1.69890540e-04	4	5.80058590e-02	3.27438010e-04	5	false	GAMG	5.92223810e-02	1.65109110e-04	4	true
23              	smoothSolver	1.88427620e-02	1.63611700e-04	4	5.91353580e-02	3.22331520e-04	5	false	GAMG	6.02050240e-02	1.37955110e-04	4	true
24              	smoothSolver	1.85992460e-02	1.57423770e-04	4	6.02478150e-02	3.23528560e-04	5	false	GAMG	6.28643450e-02	1.37314560e-04	4	true
25              	smoothSolver	1.83374760e-02	1.51636670e-04	4	6.13262960e-02	3.25815450e-04	5	false	GAMG	6.46494900e-02	1.48441760e-04	4	true
26              	smoothSolver	1.80506590e-02	1.45717190e-04	4	6.22862050e-02	3.29206690e-04	5	false	GAMG	6.63139220e-02	1.62223180e-04	4	true
27              	smoothSolver	1.77387010e-02	1.40160710e-04	4	6.32250400e-02	3.35093320e-04	5	false	GAMG	6.70401800e-02	1.70897680e-04	4	true
