# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	7.56213810e-03	4	9.99999980e-01	8.30693040e-03	4	false	GAMG	1.00000000e+00	5.53491710e-03	10	true
2               	smoothSolver	8.03992140e-01	6.62456720e-03	7	2.43350450e-01	1.68728130e-03	7	false	GAMG	2.16282890e-03	1.08665290e-05	10	true
3               	smoothSolver	1.03922450e-01	5.49569910e-04	7	3.21265400e-02	2.44820090e-04	6	false	GAMG	2.58027730e-02	1.65493580e-04	6	true
4               	smoothSolver	5.77622080e-02	3.13818720e-04	7	2.80913480e-02	2.26149940e-04	6	false	GAMG	1.94236090e-02	1.54239380e-04	4	true
5               	smoothSolver	4.23018580e-02	2.48859830e-04	7	2.43551960e-02	2.15540250e-04	6	false	GAMG	1.28040850e-02	5.39158600e-05	5	true
6               	smoothSolver	3.33475020e-02	2.09180390e-04	7	2.12593200e-02	2.09788000e-04	6	false	GAMG	9.62118360e-03	5.21854710e-05	5	true
7               	smoothSolver	2.78705160e-02	1.81851370e-04	7	1.93814840e-02	9.75758250e-05	7	false	GAMG	7.21499330e-03	4.52543940e-05	5	true
8               	smoothSolver	2.39413380e-02	1.61451270e-04	7	1.80309500e-02	9.70298060e-05	7	false	GAMG	5.63102730e-03	3.89415250e-05	5	true
9               	smoothSolver	2.10699520e-02	1.45430750e-04	7	1.70260400e-02	9.62536110e-05	7	false	GAMG	4.73977150e-03	3.28507020e-05	5	true
10              	smoothSolver	1.88533060e-02	1.32306410e-04	7	1.62116720e-02	9.55243410e-05	7	false	GAMG	4.18875050e-03	2.80658260e-05	5	true
11              	smoothSolver	1.70481800e-02	1.21608600e-04	7	1.55202250e-02	9.46672450e-05	7	false	GAMG	3.84267350e-03	2.49120950e-05	5	true
12              	smoothSolver	1.55876700e-02	1.12525340e-04	7	1.49050420e-02	9.36151030e-05	7	false	GAMG	3.55656520e-03	2.34306680e-05	5	true
