# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	8.13712460e-03	3	1.00000000e+00	5.91871170e-03	4	false	GAMG	1.00000000e+00	6.39897120e-03	12	true
2               	smoothSolver	7.53760410e-01	4.61284360e-03	6	1.97567020e-01	1.85641590e-03	5	false	GAMG	2.74286930e-03	2.62705420e-05	11	true
3               	smoothSolver	9.26534570e-02	8.48125390e-04	5	4.62168840e-02	2.55604870e-04	5	false	GAMG	4.06314500e-02	3.94701100e-04	6	true
4               	smoothSolver	5.78068140e-02	5.63365200e-04	5	4.11286450e-02	2.88417110e-04	5	false	GAMG	3.41343580e-02	1.80018810e-04	5	true
5               	smoothSolver	4.55758000e-02	1.93620450e-04	6	3.78212730e-02	3.12421880e-04	5	false	GAMG	3.33914770e-02	2.92682670e-04	5	true
6               	smoothSolver	3.79144090e-02	1.69644660e-04	6	3.43104350e-02	3.41047260e-04	5	false	GAMG	3.03051430e-02	2.86030020e-04	5	true
7               	smoothSolver	3.25307820e-02	1.53098790e-04	6	3.19815900e-02	1.61182990e-04	6	false	GAMG	2.50256880e-02	2.31433470e-04	5	true
8               	smoothSolver	2.88192320e-02	1.40844650e-04	6	3.06985340e-02	1.78758530e-04	6	false	GAMG	2.21835840e-02	1.87750030e-04	5	true
9               	smoothSolver	2.59933730e-02	1.30921080e-04	6	2.98662490e-02	1.94983990e-04	6	false	GAMG	2.05587610e-02	1.85463220e-04	5	true
10              	smoothSolver	2.37462090e-02	1.22659330e-04	6	2.92364330e-02	2.08006410e-04	6	false	GAMG	2.04376330e-02	1.97147660e-04	5	true
11              	smoothSolver	2.19235550e-02	1.15580860e-04	6	2.86326960e-02	2.18550150e-04	6	false	GAMG	2.00488020e-02	1.43382900e-04	6	true
12              	smoothSolver	2.04248610e-02	1.09670980e-04	6	2.80443580e-02	2.26785800e-04	6	false	GAMG	1.97986720e-02	1.40522750e-04	6	true
13              	smoothSolver	1.91202870e-02	1.04694310e-04	6	2.75411620e-02	2.32582530e-04	6	false	GAMG	1.94307060e-02	1.28759240e-04	6	true
14              	smoothSolver	1.80404460e-02	1.00442890e-04	6	2.71070580e-02	2.36684530e-04	6	false	GAMG	1.90549510e-02	1.19854850e-04	6	true
15              	smoothSolver	1.71103370e-02	9.66686480e-05	6	2.67052130e-02	2.39263030e-04	6	false	GAMG	1.88274590e-02	1.28037420e-04	6	true
16              	smoothSolver	1.63064580e-02	9.32066020e-05	6	2.63269480e-02	2.40865520e-04	6	false	GAMG	1.87025480e-02	1.54289640e-04	6	true
17              	smoothSolver	1.55759600e-02	8.99574270e-05	6	2.59961870e-02	2.41713150e-04	6	false	GAMG	1.85755140e-02	1.84890890e-04	6	true
18              	smoothSolver	1.49286620e-02	8.68585890e-05	6	2.57045290e-02	2.42183420e-04	6	false	GAMG	1.85611340e-02	8.21965340e-05	7	true
19              	smoothSolver	1.43395040e-02	8.38646540e-05	6	2.54481900e-02	2.42324130e-04	6	false	GAMG	1.85003840e-02	9.81944650e-05	7	true
20              	smoothSolver	1.38085340e-02	8.10144750e-05	6	2.52251060e-02	2.42206210e-04	6	false	GAMG	1.86058000e-02	1.14104130e-04	7	true
21              	smoothSolver	1.33512610e-02	7.84668250e-05	6	2.50395280e-02	2.41964710e-04	6	false	GAMG	1.87046750e-02	1.28323290e-04	7	true
