# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	7.35963760e-03	3	1.00000000e+00	6.01894130e-03	4	false	GAMG	1.00000000e+00	7.06739230e-03	11	true
2               	smoothSolver	7.47919270e-01	3.37892780e-03	6	2.09721070e-01	1.85024320e-03	5	false	GAMG	2.88991990e-03	1.59117510e-05	11	true
3               	smoothSolver	9.57640330e-02	7.77543530e-04	5	6.38138280e-02	3.86045560e-04	5	false	GAMG	4.33407010e-02	2.53239590e-04	6	true
4               	smoothSolver	6.24625870e-02	5.36761940e-04	5	5.85239680e-02	4.89423580e-04	5	false	GAMG	3.67641280e-02	2.10694940e-04	5	true
5               	smoothSolver	4.91472920e-02	4.41662400e-04	5	5.34225280e-02	5.03387480e-04	5	false	GAMG	3.94473400e-02	2.75146370e-04	5	true
6               	smoothSolver	4.08777730e-02	3.83651230e-04	5	4.80111780e-02	2.21552850e-04	6	false	GAMG	3.66118870e-02	1.86933390e-04	5	true
7               	smoothSolver	3.50952360e-02	3.42082280e-04	5	4.45991520e-02	2.35142820e-04	6	false	GAMG	3.15939410e-02	1.62574470e-04	5	true
8               	smoothSolver	3.08764750e-02	1.27951360e-04	6	4.29523030e-02	2.47684660e-04	6	false	GAMG	2.93646880e-02	1.68353360e-04	5	true
9               	smoothSolver	2.77979020e-02	1.17397560e-04	6	4.19418830e-02	2.56528980e-04	6	false	GAMG	2.87587760e-02	1.70302210e-04	5	true
10              	smoothSolver	2.53226830e-02	1.08145040e-04	6	4.10967630e-02	2.60980510e-04	6	false	GAMG	2.84315390e-02	1.71543180e-04	5	true
11              	smoothSolver	2.33138670e-02	1.00273000e-04	6	4.02867300e-02	2.61885620e-04	6	false	GAMG	2.82246050e-02	1.69918040e-04	5	true
12              	smoothSolver	2.16603740e-02	9.41118650e-05	6	3.95994290e-02	2.59122940e-04	6	false	GAMG	2.75988230e-02	1.63841390e-04	5	true
13              	smoothSolver	2.03687720e-02	8.93919080e-05	6	3.91326720e-02	2.54330040e-04	6	false	GAMG	2.71671270e-02	1.70777550e-04	5	true
14              	smoothSolver	1.92678130e-02	8.57139670e-05	6	3.87136240e-02	2.48697270e-04	6	false	GAMG	2.70927580e-02	1.96211190e-04	5	true
15              	smoothSolver	1.83177350e-02	8.27450040e-05	6	3.83684660e-02	2.43854480e-04	6	false	GAMG	2.68947640e-02	2.21823210e-04	5	true
16              	smoothSolver	1.74905640e-02	8.01562160e-05	6	3.80086370e-02	2.40026000e-04	6	false	GAMG	2.71172710e-02	2.39162960e-04	5	true
17              	smoothSolver	1.67865870e-02	7.77930960e-05	6	3.77012420e-02	2.37072890e-04	6	false	GAMG	2.74204330e-02	2.47942900e-04	5	true
18              	smoothSolver	1.61519500e-02	7.54687800e-05	6	3.73454380e-02	2.34487730e-04	6	false	GAMG	2.75695050e-02	2.53169000e-04	5	true
19              	smoothSolver	1.55674100e-02	7.32180640e-05	6	3.70441210e-02	2.32066220e-04	6	false	GAMG	2.74120250e-02	2.53967310e-04	5	true
20              	smoothSolver	1.50197850e-02	7.09862140e-05	6	3.67535140e-02	2.29242570e-04	6	false	GAMG	2.72682070e-02	2.49972750e-04	5	true
21              	smoothSolver	1.45167530e-02	6.88791680e-05	6	3.64155220e-02	2.26132790e-04	6	false	GAMG	2.71394520e-02	2.31938580e-04	5	true
22              	smoothSolver	1.40546960e-02	6.68320540e-05	6	3.60524730e-02	2.22712790e-04	6	false	GAMG	2.70665700e-02	2.05403030e-04	5	true
23              	smoothSolver	1.36293550e-02	6.49300210e-05	6	3.57216180e-02	2.18993630e-04	6	false	GAMG	2.68637960e-02	1.74872020e-04	5	true
24              	smoothSolver	1.32211390e-02	6.31114560e-05	6	3.53367240e-02	2.14707060e-04	6	false	GAMG	2.68213140e-02	1.56471380e-04	5	true
25              	smoothSolver	1.28361300e-02	6.13579390e-05	6	3.49436960e-02	2.10147960e-04	6	false	GAMG	2.67451820e-02	1.52071470e-04	5	true
26              	smoothSolver	1.24635290e-02	5.96296370e-05	6	3.45294420e-02	2.05190970e-04	6	false	GAMG	2.66411320e-02	1.47293280e-04	5	true
27              	smoothSolver	1.20985830e-02	5.79078460e-05	6	3.41282070e-02	2.00053710e-04	6	false	GAMG	2.65534510e-02	1.43730220e-04	5	true
28              	smoothSolver	1.17476310e-02	5.62549840e-05	6	3.37165720e-02	1.94861080e-04	6	false	GAMG	2.64913280e-02	1.40242370e-04	5	true
29              	smoothSolver	1.14112790e-02	5.46734940e-05	6	3.33004550e-02	1.89714440e-04	6	false	GAMG	2.63527650e-02	1.37342480e-04	5	true
30              	smoothSolver	1.10893250e-02	5.31122730e-05	6	3.28589940e-02	1.84721740e-04	6	false	GAMG	2.62470170e-02	1.34482080e-04	5	true
31              	smoothSolver	1.07741900e-02	5.15841180e-05	6	3.24428760e-02	1.80049660e-04	6	false	GAMG	2.60774830e-02	1.31631140e-04	5	true
32              	smoothSolver	1.04660670e-02	5.00829480e-05	6	3.20284060e-02	1.75744710e-04	6	false	GAMG	2.58511660e-02	1.28939250e-04	5	true
33              	smoothSolver	1.01689890e-02	4.86903640e-05	6	3.16210730e-02	1.71760610e-04	6	false	GAMG	2.56593060e-02	1.26932830e-04	5	true
34              	smoothSolver	9.88182870e-03	4.73886440e-05	6	3.12026080e-02	1.67999510e-04	6	false	GAMG	2.54790760e-02	1.25776490e-04	5	true
35              	smoothSolver	9.60030220e-03	4.61623150e-05	6	3.07901280e-02	1.64609500e-04	6	false	GAMG	2.52708420e-02	1.25368010e-04	5	true
36              	smoothSolver	9.32883810e-03	4.50074640e-05	6	3.03877510e-02	1.61466690e-04	6	false	GAMG	2.51300140e-02	1.24184400e-04	5	true
37              	smoothSolver	9.06648360e-03	4.39220690e-05	6	3.00027050e-02	1.58531910e-04	6	false	GAMG	2.49801870e-02	1.24691570e-04	5	true
38              	smoothSolver	8.81159490e-03	4.29189440e-05	6	2.96192790e-02	1.55751940e-04	6	false	GAMG	2.47912820e-02	2.42813230e-04	4	true
39              	smoothSolver	8.56897290e-03	4.19877430e-05	6	2.92414330e-02	1.53084070e-04	6	false	GAMG	2.45895840e-02	2.29166910e-04	4	true
40              	smoothSolver	8.33742910e-03	4.11121950e-05	6	2.88597640e-02	1.50556230e-04	6	false	GAMG	2.44757760e-02	2.41235910e-04	4	true
41              	smoothSolver	8.11294980e-03	4.03126890e-05	6	2.84813090e-02	1.48123660e-04	6	false	GAMG	2.43730850e-02	1.29826900e-04	5	true
42              	smoothSolver	7.89543130e-03	3.95745760e-05	6	2.81146080e-02	1.45792310e-04	6	false	GAMG	2.42236920e-02	1.33572020e-04	5	true
43              	smoothSolver	7.68878780e-03	3.88919480e-05	6	2.77407780e-02	1.43614450e-04	6	false	GAMG	2.40122680e-02	1.34931470e-04	5	true
44              	smoothSolver	7.48995300e-03	3.82463980e-05	6	2.73483730e-02	1.41598510e-04	6	false	GAMG	2.38675540e-02	1.34858750e-04	5	true
45              	smoothSolver	7.30014330e-03	3.76394310e-05	6	2.69483240e-02	1.39714880e-04	6	false	GAMG	2.37047720e-02	1.33174600e-04	5	true
46              	smoothSolver	7.11739170e-03	3.70634480e-05	6	2.65538270e-02	1.37904920e-04	6	false	GAMG	2.35756010e-02	1.29689550e-04	5	true
47              	smoothSolver	6.94440820e-03	3.65375910e-05	6	2.61620880e-02	1.36253630e-04	6	false	GAMG	2.34500990e-02	1.24523070e-04	5	true
48              	smoothSolver	6.77838630e-03	3.60634130e-05	6	2.57603480e-02	1.34714700e-04	6	false	GAMG	2.33442480e-02	1.20514090e-04	5	true
49              	smoothSolver	6.61937570e-03	3.56204690e-05	6	2.53502760e-02	1.33146230e-04	6	false	GAMG	2.32002200e-02	1.19824750e-04	5	true
50              	smoothSolver	6.46773290e-03	3.52180860e-05	6	2.49453620e-02	1.31605230e-04	6	false	GAMG	2.30847370e-02	1.22512440e-04	5	true
51              	smoothSolver	6.32196110e-03	3.48753340e-05	6	2.45410230e-02	1.30201580e-04	6	false	GAMG	2.30513420e-02	1.23214980e-04	5	true
52              	smoothSolver	6.18346600e-03	3.45743680e-05	6	2.41412550e-02	1.28782880e-04	6	false	GAMG	2.29340500e-02	1.24422020e-04	5	true
53              	smoothSolver	6.05399130e-03	3.42927040e-05	6	2.37398640e-02	1.27368690e-04	6	false	GAMG	2.28063870e-02	1.25434110e-04	5	true
