# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	9.86409960e-03	4	9.99999960e-01	7.58521190e-03	4	false	GAMG	1.00000000e+00	5.61388840e-03	6	true
2               	smoothSolver	7.86507050e-01	7.54070310e-03	7	2.45445090e-01	1.92682610e-03	7	false	GAMG	2.12180400e-03	1.06274410e-05	6	true
3               	smoothSolver	1.17113290e-01	7.30891570e-04	7	2.98704160e-02	2.50004250e-04	6	false	GAMG	1.69582880e-02	1.51545700e-04	4	true
4               	smoothSolver	6.64308260e-02	4.13119570e-04	7	2.43851020e-02	2.05526350e-04	6	false	GAMG	1.19636510e-02	4.63795080e-05	4	true
5               	smoothSolver	4.82853520e-02	3.28783130e-04	7	1.99469400e-02	1.88554450e-04	6	false	GAMG	6.32101710e-03	3.14979300e-05	4	true
6               	smoothSolver	3.80671750e-02	2.74075610e-04	7	1.68018720e-02	8.35277050e-05	7	false	GAMG	4.05698980e-03	1.94132720e-05	4	true
7               	smoothSolver	3.13787230e-02	2.36593180e-04	7	1.47724700e-02	8.02090340e-05	7	false	GAMG	2.85958530e-03	1.42101310e-05	4	true
8               	smoothSolver	2.68719120e-02	2.08099410e-04	7	1.33243520e-02	7.74365320e-05	7	false	GAMG	2.09768300e-03	1.16586370e-05	4	true
9               	smoothSolver	2.33764830e-02	1.84983420e-04	7	1.22171100e-02	7.48857050e-05	7	false	GAMG	1.62976590e-03	1.01441760e-05	4	true
10              	smoothSolver	2.06214020e-02	1.66949950e-04	7	1.13102060e-02	7.25591990e-05	7	false	GAMG	1.33517620e-03	9.14037810e-06	4	true
11              	smoothSolver	1.85719470e-02	1.52239550e-04	7	1.05434480e-02	7.01469590e-05	7	false	GAMG	1.15552150e-03	8.41653560e-06	4	true
12              	smoothSolver	1.68660500e-02	1.39956450e-04	7	9.89405390e-03	6.80233370e-05	7	false	GAMG	1.03645990e-03	7.82970560e-06	4	true
13              	smoothSolver	1.54077130e-02	1.29282150e-04	7	9.32381910e-03	6.59953150e-05	7	false	GAMG	9.35010450e-04	7.30486490e-06	4	true
14              	smoothSolver	1.41228790e-02	1.19825890e-04	7	8.82990450e-03	6.39727990e-05	7	false	GAMG	8.47597100e-04	6.81124260e-06	4	true
15              	smoothSolver	1.30316440e-02	1.11586560e-04	7	8.38819900e-03	6.21751120e-05	7	false	GAMG	7.72742080e-04	6.34096830e-06	4	true
16              	smoothSolver	1.21170840e-02	1.04300750e-04	7	7.99189690e-03	6.04592630e-05	7	false	GAMG	7.06993900e-04	5.89485150e-06	4	true
17              	smoothSolver	1.13038880e-02	9.79648070e-05	7	7.64225660e-03	5.87232500e-05	7	false	GAMG	6.50361110e-04	5.47641500e-06	4	true
18              	smoothSolver	1.05755690e-02	9.22400730e-05	7	7.31989590e-03	5.71314350e-05	7	false	GAMG	6.02608170e-04	5.08846920e-06	4	true
19              	smoothSolver	9.91974970e-03	8.70376120e-05	7	7.01886070e-03	5.56162120e-05	7	false	GAMG	5.59749740e-04	4.73296370e-06	4	true
20              	smoothSolver	9.32667640e-03	8.22919260e-05	7	6.75072480e-03	5.41253800e-05	7	false	GAMG	5.21177380e-04	4.40977110e-06	4	true
21              	smoothSolver	8.81656990e-03	7.80694550e-05	7	6.49900560e-03	5.26792910e-05	7	false	GAMG	4.86314380e-04	4.11718570e-06	4	true
22              	smoothSolver	8.35841030e-03	7.41811350e-05	7	6.26280860e-03	5.13333370e-05	7	false	GAMG	4.55187310e-04	3.85599390e-06	4	true
