# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	5.83537100e-03	3	1.00000000e+00	3.51712200e-03	4	false	GAMG	1.00000000e+00	8.33955930e-03	12	true
2               	smoothSolver	5.34959750e-01	2.81331210e-03	5	2.43433590e-01	1.88118570e-03	5	false	GAMG	3.17401630e-03	2.00053880e-05	12	true
3               	smoothSolver	6.57437460e-02	2.88778600e-04	5	1.05151520e-01	6.42382070e-04	5	false	GAMG	4.33327240e-02	2.46868550e-04	7	true
4               	smoothSolver	3.61633000e-02	1.99931100e-04	5	8.98173970e-02	7.20547210e-04	5	false	GAMG	4.81712850e-02	4.61453910e-04	4	true
5               	smoothSolver	2.94484290e-02	1.82285190e-04	5	7.59118330e-02	6.77899580e-04	5	false	GAMG	4.62438100e-02	2.62230190e-04	5	true
6               	smoothSolver	2.59083120e-02	1.73452400e-04	5	6.49294810e-02	6.29017530e-04	5	false	GAMG	3.85109890e-02	2.18838710e-04	5	true
7               	smoothSolver	2.31667840e-02	1.65979090e-04	5	5.70059050e-02	2.70550840e-04	6	false	GAMG	3.21762250e-02	2.02407850e-04	5	true
8               	smoothSolver	2.09058790e-02	1.59115010e-04	5	5.12490750e-02	2.58891720e-04	6	false	GAMG	2.93309750e-02	2.06490690e-04	5	true
9               	smoothSolver	1.90544220e-02	1.52453650e-04	5	4.65734420e-02	2.45191140e-04	6	false	GAMG	2.94603990e-02	2.16811360e-04	5	true
10              	smoothSolver	1.74742840e-02	1.46153610e-04	5	4.26481060e-02	2.30215580e-04	6	false	GAMG	2.90568010e-02	2.15008330e-04	5	true
11              	smoothSolver	1.61857190e-02	1.39932650e-04	5	3.90213500e-02	2.15381800e-04	6	false	GAMG	2.83681230e-02	2.00069310e-04	5	true
12              	smoothSolver	1.50016310e-02	1.33263120e-04	5	3.58583610e-02	2.01107350e-04	6	false	GAMG	2.69935980e-02	2.06269990e-04	5	true
13              	smoothSolver	1.39714770e-02	1.26602970e-04	5	3.31095870e-02	1.87862280e-04	6	false	GAMG	2.56007110e-02	2.24870380e-04	5	true
