# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	6.44634510e-03	4	9.99999990e-01	7.59169250e-03	4	false	GAMG	1.00000000e+00	6.46746150e-03	12	true
2               	smoothSolver	7.55137080e-01	4.53841110e-03	7	2.09040300e-01	2.03924660e-03	6	false	GAMG	2.26327460e-03	1.24781170e-05	12	true
3               	smoothSolver	9.75096860e-02	7.43704490e-04	6	3.22075910e-02	1.70999010e-04	6	false	GAMG	2.28829000e-02	1.47301140e-04	7	true
4               	smoothSolver	5.64694090e-02	4.59436320e-04	6	2.94390900e-02	1.71981630e-04	6	false	GAMG	1.56489170e-02	1.35515120e-04	5	true
5               	smoothSolver	4.07451250e-02	3.63761030e-04	6	2.61502540e-02	1.67865160e-04	6	false	GAMG	1.13968000e-02	9.41723570e-05	5	true
6               	smoothSolver	3.21514880e-02	3.03140790e-04	6	2.27932520e-02	1.64277040e-04	6	false	GAMG	8.83428270e-03	8.38100320e-05	5	true
7               	smoothSolver	2.65613010e-02	2.63030670e-04	6	2.06586420e-02	1.64008720e-04	6	false	GAMG	6.65024880e-03	3.61194330e-05	6	true
8               	smoothSolver	2.29056220e-02	1.08884300e-04	7	1.93005450e-02	1.64197620e-04	6	false	GAMG	5.19659140e-03	3.24882230e-05	6	true
9               	smoothSolver	2.01112790e-02	9.81686020e-05	7	1.83156500e-02	1.64632660e-04	6	false	GAMG	4.28806410e-03	3.33142000e-05	6	true
10              	smoothSolver	1.79046990e-02	8.94177570e-05	7	1.74939030e-02	1.64069110e-04	6	false	GAMG	3.69644870e-03	3.49353150e-05	6	true
11              	smoothSolver	1.62279030e-02	8.19191330e-05	7	1.67829330e-02	1.63276900e-04	6	false	GAMG	3.30714320e-03	1.24835230e-05	7	true
12              	smoothSolver	1.47949710e-02	7.56079520e-05	7	1.61430460e-02	7.53012670e-05	7	false	GAMG	3.01775380e-03	2.61290000e-05	6	true
13              	smoothSolver	1.35719660e-02	7.01639220e-05	7	1.55698840e-02	7.48229330e-05	7	false	GAMG	2.78995980e-03	1.95197390e-05	6	true
14              	smoothSolver	1.25123210e-02	6.55161270e-05	7	1.50580510e-02	7.42310410e-05	7	false	GAMG	2.58229270e-03	1.47103610e-05	6	true
15              	smoothSolver	1.16233040e-02	6.13664010e-05	7	1.46094200e-02	7.35587480e-05	7	false	GAMG	2.41436140e-03	1.22220030e-05	6	true
16              	smoothSolver	1.08704250e-02	5.76378940e-05	7	1.41739240e-02	7.26824280e-05	7	false	GAMG	2.26453720e-03	1.10267780e-05	6	true
17              	smoothSolver	1.01955260e-02	5.42701680e-05	7	1.37896560e-02	7.18055010e-05	7	false	GAMG	2.12659350e-03	1.04322490e-05	6	true
18              	smoothSolver	9.58840510e-03	5.12927170e-05	7	1.34052760e-02	7.07447010e-05	7	false	GAMG	2.00757270e-03	1.00924700e-05	6	true
19              	smoothSolver	9.03905600e-03	4.85936810e-05	7	1.30649560e-02	6.96771720e-05	7	false	GAMG	1.90321500e-03	9.84918890e-06	6	true
20              	smoothSolver	8.53739650e-03	4.61176100e-05	7	1.27220160e-02	6.84975240e-05	7	false	GAMG	1.80429220e-03	9.63790200e-06	6	true
21              	smoothSolver	8.07296040e-03	4.38633070e-05	7	1.24217840e-02	6.73390620e-05	7	false	GAMG	1.72460640e-03	9.41944760e-06	6	true
22              	smoothSolver	7.66643340e-03	4.17521340e-05	7	1.21218160e-02	6.61287330e-05	7	false	GAMG	1.64540310e-03	9.15508590e-06	6	true
23              	smoothSolver	7.29327860e-03	3.97922160e-05	7	1.18383310e-02	6.48762940e-05	7	false	GAMG	1.57439420e-03	8.95328950e-06	6	true
24              	smoothSolver	6.94712750e-03	3.79755020e-05	7	1.15764140e-02	6.36958260e-05	7	false	GAMG	1.51564600e-03	8.97637080e-06	6	true
25              	smoothSolver	6.62539730e-03	3.62845750e-05	7	1.13115500e-02	6.24529870e-05	7	false	GAMG	1.46254480e-03	9.41911700e-06	6	true
26              	smoothSolver	6.32600920e-03	3.47046400e-05	7	1.10746990e-02	6.12570810e-05	7	false	GAMG	1.41540360e-03	1.04917660e-05	6	true
27              	smoothSolver	6.04642740e-03	3.32272540e-05	7	1.08383270e-02	6.00741310e-05	7	false	GAMG	1.37362050e-03	1.16986810e-05	6	true
28              	smoothSolver	5.78493850e-03	3.18499380e-05	7	1.06200080e-02	5.88840590e-05	7	false	GAMG	1.33076770e-03	1.26174540e-05	6	true
29              	smoothSolver	5.53964340e-03	3.05746440e-05	7	1.04043530e-02	5.77148090e-05	7	false	GAMG	1.29296400e-03	5.09019220e-06	7	true
30              	smoothSolver	5.30926880e-03	2.93717200e-05	7	1.02025580e-02	5.65556360e-05	7	false	GAMG	1.25910960e-03	5.04116280e-06	7	true
