# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	8.35586360e-03	4	9.99999980e-01	8.67827280e-03	4	false	GAMG	1.00000000e+00	2.65821260e-03	6	true
2               	smoothSolver	7.95210120e-01	6.88232670e-03	7	2.38863220e-01	1.73339670e-03	7	false	GAMG	2.15262880e-03	5.13081300e-06	6	true
3               	smoothSolver	1.09851930e-01	6.09263330e-04	7	2.97824380e-02	2.36129390e-04	6	false	GAMG	2.19989480e-02	1.57660390e-04	4	true
4               	smoothSolver	6.17435000e-02	3.47342710e-04	7	2.55890240e-02	2.11042070e-04	6	false	GAMG	1.59346390e-02	1.03962230e-04	3	true
5               	smoothSolver	4.47254690e-02	2.73481460e-04	7	2.17631190e-02	1.97690490e-04	6	false	GAMG	9.61689730e-03	7.84572140e-05	3	true
6               	smoothSolver	3.50146940e-02	2.28081020e-04	7	1.87152470e-02	8.90209150e-05	7	false	GAMG	6.81938530e-03	5.58123360e-05	3	true
7               	smoothSolver	2.89650210e-02	1.96630540e-04	7	1.68454080e-02	8.70871120e-05	7	false	GAMG	4.94942970e-03	4.37071150e-05	3	true
8               	smoothSolver	2.47812210e-02	1.73563860e-04	7	1.54680880e-02	8.56334480e-05	7	false	GAMG	3.67312920e-03	1.96100970e-05	4	true
9               	smoothSolver	2.16273970e-02	1.55612640e-04	7	1.44945540e-02	8.42954890e-05	7	false	GAMG	3.00022380e-03	1.80338570e-05	4	true
10              	smoothSolver	1.93128360e-02	1.41256930e-04	7	1.36186780e-02	8.26297880e-05	7	false	GAMG	2.59146000e-03	1.54063980e-05	4	true
11              	smoothSolver	1.73935360e-02	1.29005780e-04	7	1.29426360e-02	8.13368440e-05	7	false	GAMG	2.33009380e-03	1.26029130e-05	4	true
12              	smoothSolver	1.57841980e-02	1.18888330e-04	7	1.23114500e-02	7.98432700e-05	7	false	GAMG	2.12999120e-03	1.04927490e-05	4	true
13              	smoothSolver	1.44691370e-02	1.10120730e-04	7	1.17845390e-02	7.83392260e-05	7	false	GAMG	1.94632280e-03	9.06859990e-06	4	true
14              	smoothSolver	1.33803900e-02	1.02686340e-04	7	1.13197100e-02	7.70518270e-05	7	false	GAMG	1.78552960e-03	8.11370930e-06	4	true
15              	smoothSolver	1.24284160e-02	9.61417930e-05	7	1.08723670e-02	7.56372310e-05	7	false	GAMG	1.65201580e-03	7.41488780e-06	4	true
16              	smoothSolver	1.15878240e-02	9.03679940e-05	7	1.05146110e-02	7.42736630e-05	7	false	GAMG	1.53402800e-03	6.87117320e-06	4	true
17              	smoothSolver	1.08353680e-02	8.52373080e-05	7	1.01633550e-02	7.30115680e-05	7	false	GAMG	1.42517910e-03	6.41027860e-06	4	true
18              	smoothSolver	1.01974750e-02	8.05078960e-05	7	9.83816780e-03	7.16993300e-05	7	false	GAMG	1.33681270e-03	5.97735100e-06	4	true
19              	smoothSolver	9.62029070e-03	7.62755940e-05	7	9.55995210e-03	7.04320010e-05	7	false	GAMG	1.25831520e-03	5.58108220e-06	4	true
20              	smoothSolver	9.09581760e-03	7.24550630e-05	7	9.28179890e-03	6.92048600e-05	7	false	GAMG	1.18372220e-03	5.21697770e-06	4	true
21              	smoothSolver	8.61730350e-03	6.89505410e-05	7	9.02780940e-03	6.79972200e-05	7	false	GAMG	1.11562260e-03	4.88653270e-06	4	true
22              	smoothSolver	8.17928940e-03	6.57467180e-05	7	8.79812760e-03	6.68080330e-05	7	false	GAMG	1.05447970e-03	4.60245390e-06	4	true
23              	smoothSolver	7.78943950e-03	6.28493100e-05	7	8.57108240e-03	6.56236390e-05	7	false	GAMG	9.98893930e-04	4.33947940e-06	4	true
24              	smoothSolver	7.44145820e-03	6.01552870e-05	7	8.36401010e-03	6.45099800e-05	7	false	GAMG	9.48160720e-04	4.09494130e-06	4	true
25              	smoothSolver	7.11832690e-03	5.76419900e-05	7	8.17101060e-03	6.34219910e-05	7	false	GAMG	9.00193510e-04	3.87460830e-06	4	true
26              	smoothSolver	6.81708880e-03	5.53350620e-05	7	7.98080410e-03	6.23049800e-05	7	false	GAMG	8.55902490e-04	3.66745500e-06	4	true
27              	smoothSolver	6.53569130e-03	5.31897130e-05	7	7.80342520e-03	6.12509830e-05	7	false	GAMG	8.16622910e-04	3.47726740e-06	4	true
28              	smoothSolver	6.26954320e-03	5.11532170e-05	7	7.63545440e-03	6.02501420e-05	7	false	GAMG	7.80978860e-04	3.31349610e-06	4	true
29              	smoothSolver	6.01740920e-03	4.92149320e-05	7	7.47197530e-03	5.92093140e-05	7	false	GAMG	7.46415680e-04	3.15812150e-06	4	true
30              	smoothSolver	5.78234760e-03	4.73881680e-05	7	7.31747660e-03	5.82058060e-05	7	false	GAMG	7.13573890e-04	3.01868410e-06	4	true
31              	smoothSolver	5.57099880e-03	4.56985070e-05	7	7.17014350e-03	5.72935350e-05	7	false	GAMG	6.84442620e-04	2.88907870e-06	4	true
32              	smoothSolver	5.37138000e-03	4.41018280e-05	7	7.02690340e-03	5.63390350e-05	7	false	GAMG	6.57140150e-04	2.76980840e-06	4	true
33              	smoothSolver	5.18231480e-03	4.25870430e-05	7	6.88980440e-03	5.53805990e-05	7	false	GAMG	6.30373480e-04	2.66064770e-06	4	true
34              	smoothSolver	5.00304820e-03	4.11481380e-05	7	6.75849920e-03	5.45088330e-05	7	false	GAMG	6.04970080e-04	2.56244810e-06	4	true
35              	smoothSolver	4.83280210e-03	3.97795510e-05	7	6.63079990e-03	5.36305050e-05	7	false	GAMG	5.81702660e-04	2.46962000e-06	4	true
36              	smoothSolver	4.67089790e-03	3.84888610e-05	7	6.50767540e-03	5.27432470e-05	7	false	GAMG	5.60051130e-04	2.38393540e-06	4	true
37              	smoothSolver	4.51682440e-03	3.72711220e-05	7	6.39044100e-03	5.18987680e-05	7	false	GAMG	5.39012140e-04	2.29931790e-06	4	true
38              	smoothSolver	4.37012630e-03	3.61086090e-05	7	6.27626150e-03	5.11047660e-05	7	false	GAMG	5.19277310e-04	2.22044760e-06	4	true
39              	smoothSolver	4.23032680e-03	3.49976380e-05	7	6.16592670e-03	5.02933140e-05	7	false	GAMG	5.00474820e-04	2.14359550e-06	4	true
40              	smoothSolver	4.09678660e-03	3.39355740e-05	7	6.06003990e-03	4.94806500e-05	7	false	GAMG	4.82943700e-04	2.06800360e-06	4	true
41              	smoothSolver	3.96952760e-03	3.29203720e-05	7	5.95697650e-03	4.87389890e-05	7	false	GAMG	4.66643030e-04	1.99580070e-06	4	true
42              	smoothSolver	3.85182520e-03	3.19478220e-05	7	5.85680360e-03	4.80043550e-05	7	false	GAMG	4.51201500e-04	1.92532990e-06	4	true
43              	smoothSolver	3.73918830e-03	3.10153650e-05	7	5.76047340e-03	4.72517450e-05	7	false	GAMG	4.36194000e-04	1.85554300e-06	4	true
44              	smoothSolver	3.63109640e-03	3.01254880e-05	7	5.66716180e-03	4.65156570e-05	7	false	GAMG	4.21972580e-04	1.78687750e-06	4	true
45              	smoothSolver	3.52735930e-03	2.92785220e-05	7	5.57605150e-03	4.58552580e-05	7	false	GAMG	4.08721180e-04	1.71578250e-06	4	true
46              	smoothSolver	3.42718440e-03	2.84602920e-05	7	5.48770550e-03	4.51786230e-05	7	false	GAMG	3.96425280e-04	1.64458120e-06	4	true
47              	smoothSolver	3.33008410e-03	2.76663170e-05	7	5.40173380e-03	4.44856610e-05	7	false	GAMG	3.84725820e-04	1.57497200e-06	4	true
48              	smoothSolver	3.23635150e-03	2.68989910e-05	7	5.31822000e-03	4.38213200e-05	7	false	GAMG	3.73353840e-04	1.50508040e-06	4	true
49              	smoothSolver	3.14608930e-03	2.61596720e-05	7	5.23736580e-03	4.32174100e-05	7	false	GAMG	3.62469650e-04	1.43496380e-06	4	true
50              	smoothSolver	3.05915920e-03	2.54471230e-05	7	5.15896040e-03	4.26053610e-05	7	false	GAMG	3.52390560e-04	1.36512180e-06	4	true
51              	smoothSolver	2.97544660e-03	2.47604410e-05	7	5.08154560e-03	4.19773220e-05	7	false	GAMG	3.42936530e-04	1.29681480e-06	4	true
52              	smoothSolver	2.89478930e-03	2.40985780e-05	7	5.00651910e-03	4.13815870e-05	7	false	GAMG	3.33794930e-04	1.22929020e-06	4	true
53              	smoothSolver	2.81705810e-03	2.34598570e-05	7	4.93442100e-03	4.08294060e-05	7	false	GAMG	3.25006060e-04	1.16222700e-06	4	true
54              	smoothSolver	2.74206140e-03	2.28446380e-05	7	4.86401530e-03	4.02697830e-05	7	false	GAMG	3.16638140e-04	1.09673040e-06	4	true
55              	smoothSolver	2.66967510e-03	2.22531000e-05	7	4.79363260e-03	3.96982420e-05	7	false	GAMG	3.08728650e-04	1.03425520e-06	4	true
56              	smoothSolver	2.59972390e-03	2.16847670e-05	7	4.72552020e-03	3.91576630e-05	7	false	GAMG	3.01268210e-04	9.75093280e-07	4	true
57              	smoothSolver	2.53216890e-03	2.11354890e-05	7	4.66083210e-03	3.86506090e-05	7	false	GAMG	2.94028730e-04	9.17528600e-07	4	true
58              	smoothSolver	2.46691260e-03	2.06041560e-05	7	4.59721400e-03	3.81401740e-05	7	false	GAMG	2.86879730e-04	8.63945900e-07	4	true
59              	smoothSolver	2.40380560e-03	2.00901540e-05	7	4.53305280e-03	3.76178190e-05	7	false	GAMG	2.80008270e-04	8.13655060e-07	4	true
60              	smoothSolver	2.34275500e-03	1.95929480e-05	7	4.47074700e-03	3.71214540e-05	7	false	GAMG	2.73648980e-04	7.66014290e-07	4	true
61              	smoothSolver	2.28373410e-03	1.91114630e-05	7	4.41185330e-03	3.66499700e-05	7	false	GAMG	2.67547380e-04	7.22575530e-07	4	true
62              	smoothSolver	2.22667920e-03	1.86449260e-05	7	4.35357940e-03	3.61762850e-05	7	false	GAMG	2.61562210e-04	6.83394140e-07	4	true
63              	smoothSolver	2.17160090e-03	1.81931460e-05	7	4.29529960e-03	3.56980190e-05	7	false	GAMG	2.55928610e-04	6.48277810e-07	4	true
64              	smoothSolver	2.11875960e-03	1.77554760e-05	7	4.23795040e-03	3.52388290e-05	7	false	GAMG	2.50442780e-04	6.17163440e-07	4	true
65              	smoothSolver	2.06776480e-03	1.73311650e-05	7	4.18414060e-03	3.48011420e-05	7	false	GAMG	2.44991270e-04	5.90033470e-07	4	true
66              	smoothSolver	2.01830910e-03	1.69195720e-05	7	4.13104910e-03	3.43633090e-05	7	false	GAMG	2.39866760e-04	5.66659290e-07	4	true
67              	smoothSolver	1.97032100e-03	1.65203830e-05	7	4.07744910e-03	3.39201570e-05	7	false	GAMG	2.35116480e-04	5.46944660e-07	4	true
68              	smoothSolver	1.92380570e-03	1.61330440e-05	7	4.02388120e-03	3.34889970e-05	7	false	GAMG	2.30499280e-04	5.30761020e-07	4	true
69              	smoothSolver	1.87866740e-03	1.57569990e-05	7	3.97402440e-03	3.30738750e-05	7	false	GAMG	2.25903900e-04	5.17668600e-07	4	true
70              	smoothSolver	1.83485930e-03	1.53921220e-05	7	3.92463400e-03	3.26606210e-05	7	false	GAMG	2.21510450e-04	5.07447030e-07	4	true
