# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	3.44104700e-03	3	1.00000000e+00	9.37535860e-03	3	false	GAMG	1.00000000e+00	8.05496510e-03	6	true
2               	smoothSolver	6.32986200e-01	5.78610790e-03	4	2.06642120e-01	8.88133960e-04	5	false	GAMG	3.74162270e-03	1.77202550e-05	6	true
3               	smoothSolver	9.42143780e-02	9.09285170e-04	4	9.72871420e-02	3.96894360e-04	5	false	GAMG	4.63124960e-02	3.04295220e-04	4	true
4               	smoothSolver	6.90611150e-02	6.56495910e-04	4	8.89436510e-02	4.74225290e-04	5	false	GAMG	5.77352590e-02	5.16978170e-04	3	true
5               	smoothSolver	5.90864750e-02	5.87085260e-04	4	8.06005550e-02	4.47019430e-04	5	false	GAMG	6.47983170e-02	4.01128220e-04	3	true
6               	smoothSolver	5.20104310e-02	2.02336370e-04	5	7.29164040e-02	4.23313960e-04	5	false	GAMG	6.03633380e-02	4.47251850e-04	3	true
7               	smoothSolver	4.62672330e-02	1.94361390e-04	5	6.77203760e-02	4.18471850e-04	5	false	GAMG	5.64952970e-02	4.66883950e-04	3	true
8               	smoothSolver	4.20914580e-02	1.89543140e-04	5	6.58430390e-02	4.17028210e-04	5	false	GAMG	5.83338530e-02	4.86852280e-04	3	true
9               	smoothSolver	3.85904360e-02	1.87143400e-04	5	6.44990360e-02	4.22360460e-04	5	false	GAMG	6.29851390e-02	5.10370260e-04	3	true
10              	smoothSolver	3.56439250e-02	1.85109210e-04	5	6.32131450e-02	4.29347880e-04	5	false	GAMG	6.43178910e-02	5.31290970e-04	3	true
11              	smoothSolver	3.29903130e-02	1.83360660e-04	5	6.18865330e-02	4.37229100e-04	5	false	GAMG	6.49049750e-02	5.38733170e-04	3	true
12              	smoothSolver	3.06766720e-02	1.81762200e-04	5	6.05754220e-02	4.44373820e-04	5	false	GAMG	6.60537070e-02	5.39912700e-04	3	true
13              	smoothSolver	2.86247530e-02	1.79988300e-04	5	5.92939230e-02	4.52849650e-04	5	false	GAMG	6.78569170e-02	5.41421410e-04	3	true
14              	smoothSolver	2.69358140e-02	1.78281550e-04	5	5.80148960e-02	4.61907720e-04	5	false	GAMG	6.99430590e-02	5.35853760e-04	3	true
15              	smoothSolver	2.53696860e-02	1.76190150e-04	5	5.66060720e-02	4.70598540e-04	5	false	GAMG	7.18733450e-02	5.23296030e-04	3	true
16              	smoothSolver	2.39890270e-02	1.73934030e-04	5	5.54066970e-02	4.78314400e-04	5	false	GAMG	7.28942570e-02	5.07515350e-04	3	true
17              	smoothSolver	2.26750650e-02	1.71826600e-04	5	5.40166500e-02	4.84859320e-04	5	false	GAMG	7.38819660e-02	4.89475990e-04	3	true
18              	smoothSolver	2.14609740e-02	1.69961860e-04	5	5.26468140e-02	4.90014900e-04	5	false	GAMG	7.45396090e-02	4.79031850e-04	3	true
19              	smoothSolver	2.03669060e-02	1.68005770e-04	5	5.12781680e-02	4.93770550e-04	5	false	GAMG	7.49306800e-02	4.81767860e-04	3	true
20              	smoothSolver	1.93289500e-02	1.66355150e-04	5	4.99018580e-02	4.95996070e-04	5	false	GAMG	7.52468710e-02	4.99878530e-04	3	true
21              	smoothSolver	1.83967360e-02	1.64599900e-04	5	4.85002200e-02	2.63782090e-04	6	false	GAMG	7.58129960e-02	5.25048870e-04	3	true
22              	smoothSolver	1.75361120e-02	1.63356450e-04	5	4.71102550e-02	2.63680750e-04	6	false	GAMG	7.62566190e-02	5.40124070e-04	3	true
23              	smoothSolver	1.67506050e-02	1.62130220e-04	5	4.57179150e-02	2.64746140e-04	6	false	GAMG	7.66761650e-02	5.53597910e-04	3	true
