# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	3.66681710e-03	3	1.00000000e+00	6.90183360e-03	3	false	GAMG	1.00000000e+00	1.79637840e-03	6	true
2               	smoothSolver	5.02079780e-01	1.93020420e-03	4	1.94291850e-01	1.79683320e-03	3	false	GAMG	4.21303290e-03	1.74228320e-05	5	true
3               	smoothSolver	7.65059570e-02	2.44464940e-04	4	9.04862230e-02	8.54450170e-04	3	false	GAMG	4.53148720e-02	3.06144130e-04	3	true
4               	smoothSolver	5.59926340e-02	1.84216020e-04	4	8.59533560e-02	2.99591950e-04	4	false	GAMG	3.96350760e-02	3.13953910e-04	3	true
5               	smoothSolver	4.53195670e-02	1.59360060e-04	4	7.65453530e-02	2.88475820e-04	4	false	GAMG	3.51404590e-02	1.76455110e-04	3	true
6               	smoothSolver	3.94222850e-02	1.41920490e-04	4	6.80578020e-02	2.46859540e-04	4	false	GAMG	2.77138350e-02	1.71031200e-04	3	true
7               	smoothSolver	3.49701410e-02	1.27237850e-04	4	6.25043030e-02	2.23116840e-04	4	false	GAMG	2.16279770e-02	1.29948960e-04	3	true
8               	smoothSolver	3.15374690e-02	1.15101190e-04	4	5.92136560e-02	2.13093020e-04	4	false	GAMG	1.77265290e-02	1.13168060e-04	3	true
9               	smoothSolver	2.88172480e-02	1.05162040e-04	4	5.68042620e-02	2.05436470e-04	4	false	GAMG	1.64838030e-02	9.83801340e-05	3	true
10              	smoothSolver	2.63819400e-02	9.68178740e-05	4	5.48263420e-02	1.98563010e-04	4	false	GAMG	1.53990430e-02	9.09554290e-05	3	true
11              	smoothSolver	2.44735120e-02	9.00047410e-05	4	5.29744980e-02	1.92680340e-04	4	false	GAMG	1.42436060e-02	8.37511820e-05	3	true
12              	smoothSolver	2.27975390e-02	8.40647060e-05	4	5.12189780e-02	1.87468220e-04	4	false	GAMG	1.33785960e-02	8.08853420e-05	3	true
13              	smoothSolver	2.12990370e-02	7.87406930e-05	4	4.95313460e-02	1.82851640e-04	4	false	GAMG	1.26509590e-02	8.26421690e-05	3	true
14              	smoothSolver	1.99706530e-02	7.41416190e-05	4	4.79868140e-02	1.78126550e-04	4	false	GAMG	1.19390520e-02	8.59013780e-05	3	true
15              	smoothSolver	1.87914260e-02	7.01718320e-05	4	4.65452360e-02	1.73779640e-04	4	false	GAMG	1.13064580e-02	8.78584490e-05	3	true
16              	smoothSolver	1.77388520e-02	6.67246860e-05	4	4.52544390e-02	1.69994100e-04	4	false	GAMG	1.09996240e-02	8.76871620e-05	3	true
17              	smoothSolver	1.67895590e-02	6.36939500e-05	4	4.40718500e-02	1.66327740e-04	4	false	GAMG	1.08416960e-02	8.61437190e-05	3	true
18              	smoothSolver	1.59237130e-02	6.09504930e-05	4	4.29776390e-02	1.62943350e-04	4	false	GAMG	1.07225950e-02	8.53857500e-05	3	true
