# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	6.65535530e-03	3	1.00000000e+00	4.02560880e-03	4	false	GAMG	1.00000000e+00	4.90515330e-03	7	true
2               	smoothSolver	6.41805650e-01	5.73288340e-03	5	1.95551900e-01	1.66652900e-03	6	false	GAMG	2.94061290e-03	2.83206320e-05	6	true
3               	smoothSolver	7.27787190e-02	6.51524860e-04	5	6.61213500e-02	4.59275020e-04	6	false	GAMG	4.30995790e-02	3.35750180e-04	4	true
4               	smoothSolver	4.13427670e-02	1.84883300e-04	6	5.79071540e-02	4.79488320e-04	6	false	GAMG	4.54464440e-02	3.55381560e-04	3	true
5               	smoothSolver	3.40808890e-02	1.60729390e-04	6	5.10756260e-02	4.42897930e-04	6	false	GAMG	4.23835510e-02	2.80898770e-04	3	true
6               	smoothSolver	2.93715100e-02	1.50381090e-04	6	4.57144240e-02	4.06554520e-04	6	false	GAMG	3.58793670e-02	2.75179940e-04	3	true
7               	smoothSolver	2.60584390e-02	1.41240550e-04	6	4.20131640e-02	3.83863880e-04	6	false	GAMG	2.95880240e-02	2.77085520e-04	3	true
8               	smoothSolver	2.34896370e-02	1.33078730e-04	6	3.94251730e-02	3.65747840e-04	6	false	GAMG	2.65486240e-02	1.52123510e-04	4	true
9               	smoothSolver	2.14687680e-02	1.26469820e-04	6	3.72690040e-02	3.48431410e-04	6	false	GAMG	2.62184700e-02	1.43166550e-04	4	true
10              	smoothSolver	1.98212310e-02	1.20364670e-04	6	3.53963870e-02	3.32159250e-04	6	false	GAMG	2.61157500e-02	1.35597170e-04	4	true
11              	smoothSolver	1.84195110e-02	1.14683520e-04	6	3.37120500e-02	3.18078590e-04	6	false	GAMG	2.62964630e-02	1.28737660e-04	4	true
12              	smoothSolver	1.72015330e-02	1.09588460e-04	6	3.21761920e-02	3.05467490e-04	6	false	GAMG	2.56496430e-02	1.23242600e-04	4	true
13              	smoothSolver	1.61662370e-02	1.04858990e-04	6	3.08356410e-02	2.94977160e-04	6	false	GAMG	2.50214150e-02	1.19214330e-04	4	true
14              	smoothSolver	1.52345550e-02	1.00327690e-04	6	2.96431740e-02	2.86261750e-04	6	false	GAMG	2.45328470e-02	1.16547920e-04	4	true
15              	smoothSolver	1.44397730e-02	9.59161900e-05	6	2.86386110e-02	2.79210090e-04	6	false	GAMG	2.40861830e-02	1.15853660e-04	4	true
16              	smoothSolver	1.37276520e-02	9.16431580e-05	6	2.77683430e-02	2.73568250e-04	6	false	GAMG	2.37071650e-02	1.16454580e-04	4	true
17              	smoothSolver	1.30618790e-02	8.75988460e-05	6	2.70952630e-02	2.69224740e-04	6	false	GAMG	2.33824790e-02	1.18601410e-04	4	true
18              	smoothSolver	1.24707890e-02	8.36409220e-05	6	2.65921680e-02	1.34533440e-04	7	false	GAMG	2.31118750e-02	1.23823450e-04	4	true
19              	smoothSolver	1.19365520e-02	8.00157890e-05	6	2.62133500e-02	1.33268690e-04	7	false	GAMG	2.28827770e-02	1.24332030e-04	4	true
20              	smoothSolver	1.14509450e-02	7.66389320e-05	6	2.59758300e-02	1.32533130e-04	7	false	GAMG	2.27807920e-02	1.26842890e-04	4	true
21              	smoothSolver	1.10554050e-02	7.35981990e-05	6	2.58278690e-02	1.32000910e-04	7	false	GAMG	2.26066560e-02	1.29016320e-04	4	true
22              	smoothSolver	1.07081200e-02	7.09126980e-05	6	2.57265340e-02	1.31624820e-04	7	false	GAMG	2.25367740e-02	1.30363680e-04	4	true
23              	smoothSolver	1.04049200e-02	6.85986980e-05	6	2.57052860e-02	1.31210500e-04	7	false	GAMG	2.26686050e-02	1.30533890e-04	4	true
24              	smoothSolver	1.01636000e-02	6.66960960e-05	6	2.57119320e-02	1.30827440e-04	7	false	GAMG	2.25820560e-02	1.31324960e-04	4	true
25              	smoothSolver	9.96256810e-03	6.50441680e-05	6	2.57879010e-02	1.30306230e-04	7	false	GAMG	2.26147560e-02	1.31669000e-04	4	true
26              	smoothSolver	9.79574790e-03	6.36822940e-05	6	2.58649910e-02	1.29797040e-04	7	false	GAMG	2.28144970e-02	1.33796510e-04	4	true
27              	smoothSolver	9.67162110e-03	6.25184260e-05	6	2.59914570e-02	2.58051750e-04	6	false	GAMG	2.28922100e-02	1.31136390e-04	4	true
