# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	8.06570470e-03	3	1.00000000e+00	6.15237940e-03	4	false	GAMG	1.00000000e+00	7.60260370e-03	12	true
2               	smoothSolver	7.68687530e-01	5.29521380e-03	6	2.21026580e-01	2.06905970e-03	6	false	GAMG	2.70573290e-03	1.68596560e-05	12	true
3               	smoothSolver	9.89062530e-02	5.35311100e-04	6	6.03264220e-02	3.32351450e-04	6	false	GAMG	4.18140520e-02	3.76557100e-04	6	true
4               	smoothSolver	6.23274140e-02	3.52590560e-04	6	5.50652810e-02	3.88729290e-04	6	false	GAMG	3.67832550e-02	3.49621480e-04	4	true
5               	smoothSolver	4.91647740e-02	2.92374760e-04	6	5.05638030e-02	3.84868630e-04	6	false	GAMG	3.84836500e-02	2.15998280e-04	5	true
6               	smoothSolver	4.11582010e-02	2.58683260e-04	6	4.58481700e-02	3.81614280e-04	6	false	GAMG	3.61473760e-02	2.07867630e-04	5	true
7               	smoothSolver	3.54423800e-02	2.35147740e-04	6	4.29270470e-02	3.85715960e-04	6	false	GAMG	3.12652550e-02	1.88544110e-04	5	true
8               	smoothSolver	3.14519780e-02	2.16854880e-04	6	4.14780420e-02	3.89792200e-04	6	false	GAMG	2.92331190e-02	1.75197310e-04	5	true
9               	smoothSolver	2.85261730e-02	2.02095720e-04	6	4.04972660e-02	3.90314970e-04	6	false	GAMG	2.87058510e-02	1.73695150e-04	5	true
10              	smoothSolver	2.60396010e-02	1.89412620e-04	6	3.97145960e-02	3.88326710e-04	6	false	GAMG	2.88691870e-02	1.83631980e-04	5	true
11              	smoothSolver	2.41029180e-02	1.78420990e-04	6	3.89334860e-02	3.85116220e-04	6	false	GAMG	2.88015900e-02	1.93348720e-04	5	true
12              	smoothSolver	2.24473940e-02	1.68870990e-04	6	3.82573600e-02	3.80584350e-04	6	false	GAMG	2.85299550e-02	1.97862740e-04	5	true
13              	smoothSolver	2.10947000e-02	1.60507360e-04	6	3.76817470e-02	3.75044460e-04	6	false	GAMG	2.80719230e-02	2.01984550e-04	5	true
14              	smoothSolver	1.99303650e-02	1.53123210e-04	6	3.72783960e-02	3.69053880e-04	6	false	GAMG	2.78604420e-02	2.13454040e-04	5	true
