# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	8.93065190e-03	5	4.26829570e-06	2.09816080e-08	4	false	GAMG	1.00000000e+00	9.22041340e-03	5	true
2               	smoothSolver	2.34476640e-01	2.05499390e-03	6	2.68622760e-01	1.32005420e-03	7	false	GAMG	1.28833050e-03	9.39113920e-06	4	true
3               	smoothSolver	1.15760300e-01	1.14221320e-03	6	1.37360000e-01	7.38106400e-04	7	false	GAMG	8.16159400e-04	7.17186850e-06	4	true
4               	smoothSolver	7.04918780e-02	3.73107330e-04	7	8.26918950e-02	4.78347700e-04	7	false	GAMG	5.96897160e-04	5.26044560e-06	4	true
5               	smoothSolver	4.88280660e-02	2.75004940e-04	7	5.68232700e-02	3.47241880e-04	7	false	GAMG	4.71354190e-04	3.71631210e-06	4	true
6               	smoothSolver	3.65997480e-02	2.13196220e-04	7	4.20292560e-02	2.68169800e-04	7	false	GAMG	3.88482490e-04	2.80698290e-06	4	true
7               	smoothSolver	2.84467560e-02	1.73067720e-04	7	3.26143240e-02	2.15891650e-04	7	false	GAMG	3.24576960e-04	2.18818280e-06	4	true
8               	smoothSolver	2.31332790e-02	1.45559430e-04	7	2.62058370e-02	1.78869680e-04	7	false	GAMG	2.74839170e-04	1.76151300e-06	4	true
9               	smoothSolver	1.94428090e-02	1.24169890e-04	7	2.15999710e-02	1.51319620e-04	7	false	GAMG	2.32969530e-04	1.46382360e-06	4	true
10              	smoothSolver	1.65496500e-02	1.07021360e-04	7	1.81617760e-02	1.30118860e-04	7	false	GAMG	1.98458710e-04	1.24669360e-06	4	true
11              	smoothSolver	1.42211630e-02	9.29640750e-05	7	1.55024160e-02	1.13291300e-04	7	false	GAMG	1.69973530e-04	1.08584370e-06	4	true
12              	smoothSolver	1.23107750e-02	8.12934090e-05	7	1.33937740e-02	9.94066100e-05	7	false	GAMG	1.45938340e-04	9.60605440e-07	4	true
13              	smoothSolver	1.06970540e-02	7.15909410e-05	7	1.16785300e-02	8.77119400e-05	7	false	GAMG	1.26305620e-04	8.63112150e-07	4	true
14              	smoothSolver	9.32472210e-03	6.31051210e-05	7	1.02459880e-02	7.77325220e-05	7	false	GAMG	1.09350930e-04	7.87285020e-07	4	true
15              	smoothSolver	8.23700360e-03	5.57865350e-05	7	9.03278260e-03	6.91302880e-05	7	false	GAMG	9.49767570e-05	7.20198770e-07	4	true
16              	smoothSolver	7.30416330e-03	4.94472610e-05	7	7.99438610e-03	6.16556690e-05	7	false	GAMG	8.30763350e-05	6.59312150e-07	4	true
17              	smoothSolver	6.49156640e-03	4.39266210e-05	7	7.09794430e-03	5.51179300e-05	7	false	GAMG	7.31145200e-05	6.02488440e-07	4	true
18              	smoothSolver	5.78017810e-03	3.90966220e-05	7	6.31858020e-03	4.93684460e-05	7	false	GAMG	6.48622350e-05	5.49466860e-07	4	true
19              	smoothSolver	5.15479510e-03	3.48542630e-05	7	5.63687460e-03	4.42901310e-05	7	false	GAMG	5.79764500e-05	5.01781300e-07	4	true
20              	smoothSolver	4.60326380e-03	3.11160400e-05	7	5.03791550e-03	3.97872160e-05	7	false	GAMG	5.18709000e-05	4.57052680e-07	4	true
21              	smoothSolver	4.11554880e-03	2.78124750e-05	7	4.50938400e-03	3.57820250e-05	7	false	GAMG	4.65969440e-05	4.15113200e-07	4	true
22              	smoothSolver	3.68325030e-03	2.48860010e-05	7	4.04150840e-03	3.22099700e-05	7	false	GAMG	4.19419460e-05	3.76736380e-07	4	true
23              	smoothSolver	3.29928760e-03	2.23018930e-05	7	3.62612750e-03	2.90177910e-05	7	false	GAMG	3.78513200e-05	3.41726090e-07	4	true
24              	smoothSolver	2.95764760e-03	2.00067830e-05	7	3.25653590e-03	2.61600320e-05	7	false	GAMG	3.42071450e-05	3.09648480e-07	4	true
25              	smoothSolver	2.65318690e-03	1.79585880e-05	7	2.92693900e-03	2.35975190e-05	7	false	GAMG	3.09889870e-05	2.80135480e-07	4	true
26              	smoothSolver	2.38149010e-03	1.61285430e-05	7	2.63252550e-03	2.12959450e-05	7	false	GAMG	2.80745810e-05	2.53402590e-07	4	true
27              	smoothSolver	2.13874420e-03	1.44917600e-05	7	2.36906210e-03	1.92261920e-05	7	false	GAMG	2.54239140e-05	2.29230100e-07	4	true
28              	smoothSolver	1.92163570e-03	1.30264830e-05	7	2.13299570e-03	1.73630290e-05	7	false	GAMG	2.30168780e-05	2.07257090e-07	4	true
29              	smoothSolver	1.72727640e-03	1.17137030e-05	7	1.92136200e-03	1.56850760e-05	7	false	GAMG	2.08348650e-05	1.87226530e-07	4	true
30              	smoothSolver	1.55313980e-03	1.05366980e-05	7	1.73138140e-03	1.41731180e-05	7	false	GAMG	1.88732880e-05	1.69019580e-07	4	true
31              	smoothSolver	1.39700890e-03	9.48076670e-06	7	1.56069090e-03	1.28093810e-05	7	false	GAMG	1.70950010e-05	1.52558510e-07	4	true
32              	smoothSolver	1.25693220e-03	8.53291870e-06	7	1.40720380e-03	1.15784880e-05	7	false	GAMG	1.54767310e-05	1.37731830e-07	4	true
33              	smoothSolver	1.13118770e-03	7.68166240e-06	7	1.26909160e-03	1.04669460e-05	7	false	GAMG	1.40070540e-05	1.24392060e-07	4	true
34              	smoothSolver	1.01825090e-03	6.91680980e-06	7	1.14479560e-03	9.46307700e-06	7	false	GAMG	1.26800740e-05	1.12560400e-07	4	true
35              	smoothSolver	9.16776720e-04	6.22933130e-06	7	1.03289020e-03	8.55671830e-06	7	false	GAMG	1.14697390e-05	1.01528990e-07	4	true
36              	smoothSolver	8.25560750e-04	5.61116400e-06	7	9.32052130e-04	7.73766920e-06	7	false	GAMG	1.03730800e-05	9.15968820e-08	4	true
