# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	8.91593220e-03	3	1.00000000e+00	6.32439720e-03	4	false	GAMG	1.00000000e+00	4.45747290e-03	8	true
2               	smoothSolver	7.73610740e-01	3.66455980e-03	7	2.21621960e-01	1.58174740e-03	7	false	GAMG	2.51629530e-03	2.05591990e-05	7	true
3               	smoothSolver	9.19632650e-02	7.18819530e-04	6	4.42914380e-02	3.80318360e-04	6	false	GAMG	4.44355910e-02	1.85942660e-04	5	true
4               	smoothSolver	5.84221370e-02	4.84688110e-04	6	3.95499820e-02	1.98637330e-04	7	false	GAMG	3.55581270e-02	1.76544630e-04	4	true
5               	smoothSolver	4.65672920e-02	4.05771740e-04	6	3.63785000e-02	1.95230270e-04	7	false	GAMG	3.56142510e-02	3.14138490e-04	4	true
6               	smoothSolver	3.92188630e-02	3.62020780e-04	6	3.31976560e-02	1.93336750e-04	7	false	GAMG	3.40747040e-02	3.07731120e-04	4	true
7               	smoothSolver	3.40895850e-02	3.30009740e-04	6	3.11946720e-02	1.94840080e-04	7	false	GAMG	2.97654010e-02	2.87485410e-04	4	true
8               	smoothSolver	3.04139890e-02	3.03982930e-04	6	3.01975890e-02	1.97207900e-04	7	false	GAMG	2.70850430e-02	9.83402440e-05	5	true
9               	smoothSolver	2.76099020e-02	1.37342620e-04	7	2.96099860e-02	1.98389970e-04	7	false	GAMG	2.58445100e-02	1.05847330e-04	5	true
10              	smoothSolver	2.53813250e-02	1.28963500e-04	7	2.91241990e-02	1.98959910e-04	7	false	GAMG	2.61762880e-02	1.09025660e-04	5	true
11              	smoothSolver	2.35301640e-02	1.21901530e-04	7	2.86329760e-02	1.99050010e-04	7	false	GAMG	2.61035460e-02	2.59257450e-04	4	true
12              	smoothSolver	2.19570840e-02	1.15522050e-04	7	2.82062290e-02	1.98810600e-04	7	false	GAMG	2.57093160e-02	1.02605670e-04	5	true
13              	smoothSolver	2.05969660e-02	1.09773040e-04	7	2.78017760e-02	1.98257560e-04	7	false	GAMG	2.53323990e-02	9.78699810e-05	5	true
14              	smoothSolver	1.94582520e-02	1.04589470e-04	7	2.74537020e-02	1.97673370e-04	7	false	GAMG	2.48883460e-02	9.43595920e-05	5	true
15              	smoothSolver	1.84679210e-02	9.99738300e-05	7	2.71701500e-02	1.96855290e-04	7	false	GAMG	2.47119980e-02	9.13136250e-05	5	true
16              	smoothSolver	1.75859030e-02	9.58841320e-05	7	2.69185240e-02	1.95865490e-04	7	false	GAMG	2.44955640e-02	8.94682820e-05	5	true
17              	smoothSolver	1.67997710e-02	9.22545560e-05	7	2.66664740e-02	1.95002720e-04	7	false	GAMG	2.44258690e-02	8.78528210e-05	5	true
18              	smoothSolver	1.60883780e-02	8.89298550e-05	7	2.64527550e-02	1.94040590e-04	7	false	GAMG	2.42150330e-02	8.66997320e-05	5	true
19              	smoothSolver	1.54483630e-02	8.59175520e-05	7	2.62336180e-02	1.92949140e-04	7	false	GAMG	2.43097100e-02	8.57583500e-05	5	true
20              	smoothSolver	1.48657860e-02	8.31653180e-05	7	2.60315610e-02	1.91986640e-04	7	false	GAMG	2.43300830e-02	8.49155420e-05	5	true
21              	smoothSolver	1.43305770e-02	8.06885380e-05	7	2.58325250e-02	1.90900550e-04	7	false	GAMG	2.44299090e-02	8.41889930e-05	5	true
22              	smoothSolver	1.38481920e-02	7.84606740e-05	7	2.56336840e-02	1.89669410e-04	7	false	GAMG	2.44926390e-02	8.33249780e-05	5	true
23              	smoothSolver	1.33944030e-02	7.64502480e-05	7	2.54395520e-02	1.88459840e-04	7	false	GAMG	2.45890360e-02	8.29160110e-05	5	true
